choice_id,choice,qty,option,spec,unit_price,currency,tier,vendor,link,fgroup,note
8.1,Onboard compute,1,NVIDIA Jetson Orin Nano Super Dev Kit,"8 GB, 67 TOPS, carrier also accepts Orin NX modules",399.00,USD,essential,amazon.com,https://developer.nvidia.com/embedded/buy-jetson,compute,"Was $249 before the 22 July 2026 NVIDIA price rise. The carrier accepts Orin NX modules, so this is also a route to 16 GB later."
8.1,Onboard compute,1,NVIDIA Jetson Orin NX 8 GB + carrier,"8 GB, 117 TOPS, module $649 + ~$250 carrier (est.)",899.00,USD,,nvidia.com,https://developer.nvidia.com/embedded/buy-jetson,compute,
8.1,Onboard compute,1,NVIDIA Jetson Orin NX 16 GB + carrier,"16 GB, 157 TOPS, module $999 + ~$250 carrier (est.)",1249.00,USD,recommended,nvidia.com,https://developer.nvidia.com/embedded/buy-jetson,compute,"Memory, not TOPS, is the binding constraint - the policy, cuVSLAM, Nav2 and every camera stream must be resident at once, and the module is soldered."
8.1,Onboard compute,1,NVIDIA Jetson AGX Orin 64 GB Dev Kit,"64 GB, 275 TOPS, emulates every Orin module, 60 W",3499.00,USD,,amazon.com,https://developer.nvidia.com/embedded/buy-jetson,compute,"60 W would force a battery redesign that this guide does not cover."
8.1,Onboard compute,1,NVIDIA Jetson AGX Thor Developer Kit,"128 GB, 2070 TFLOPS",5499.00,USD,maximum,nvidia.com,https://developer.nvidia.com/embedded/buy-jetson,compute,"Was $3,499 before 22 July 2026. This single line is the difference between a $8.5k and a $15k robot."
8.2,Wrist cameras,2,MMlove AR0144 GS-720P-60fps,"1280x720 @ 60, global shutter, 170 deg fisheye, no depth",48.99,USD,essential,amazon.com,,perception,
8.2,Wrist cameras,2,MMlove AR0144 GS-1200P-90fps,"1600x1200 @ 90, global shutter, same board, higher rate",82.99,USD,recommended,amazon.com,,perception,"The $68 step from 720P to 1200P across the pair is the highest-value spend in this guide - wrist views carry the fine detail a manipulation policy learns from."
8.2,Wrist cameras,2,Intel RealSense D405,"1280x720 @ 90, global shutter, metric depth 7-50 cm",288.00,USD,maximum,digikey.com,https://www.digikey.com/en/product-highlight/i/intel-realsense/d405-depth-camera,perception,"Dropping the D405s loses metric depth at the wrist, which most RGB-conditioned policies in the UMI lineage never use."
8.3,Head camera,1,"MMlove 1200P stereo, 112 deg HFOV","3200x1200 @ 60, global shutter, synced pair, host-side matching",97.99,USD,essential recommended,amazon.com,,perception,"Raw synchronised stereo with matching moved onto the host, which costs memory on a smaller Jetson."
8.3,Head camera,1,Intel RealSense D435i,"1280x720 @ 90, rolling shutter, depth + IMU",319.72,USD,,pcnation.com,,perception,
8.3,Head camera,1,Stereolabs ZED Mini,"1280x720 @ 60, rolling shutter, on-board depth engine + VIO",399.00,USD,maximum,stereolabs.com,https://www.stereolabs.com/store/products/zed-mini,perception,On-board depth and visual-inertial odometry.
8.4,Base depth camera,1,Omit - rely on the 2D lidar,Nav2 maps and plans from the lidar scan alone,0.00,USD,essential recommended,-,,perception,"A 2D lidar sees one horizontal plane. If MABEL only ever drives across open floor this line is $0."
8.4,Base depth camera,1,Intel RealSense D435i,"Adds 3D obstacle detection at the base: overhangs, table edges, low clutter",319.72,USD,maximum,pcnation.com,,perception,"Without it, expect to hand-annotate keep-out zones in the costmap. On an 8 GB Orin Nano its point cloud competes for exactly the memory the policy needs."
8.5,2D lidar,1,youyeetoo FHL-LD19,"DTOF, 12 m, 10 Hz, 4.5 kHz, 30 klux, 50 g, ROS 2 SDK (est.)",69.00,USD,essential,amazon.com,,perception,"A third of the price of the A2M12 and, being direct time-of-flight rather than triangulation, holds accuracy at range better."
8.5,2D lidar,1,Slamtec RPLIDAR C1,"DTOF, 12 m, 8-12 Hz, 5 kHz, 40 klux, 110 g (est.)",99.00,USD,recommended,amazon.com,,perception,
8.5,2D lidar,1,youyeetoo FHL-LD19 Plus,"DTOF, 25 m, 60 klux, IP5X, drop-in LD19 replacement (est.)",99.00,USD,,amazon.com,,perception,
8.5,2D lidar,1,Slamtec RPLIDAR A2M12,"Triangulation, 12 m, 5-15 Hz, 16 kHz, 190 g - the original spec",228.63,USD,maximum,amazon.com,,perception,"Wins on sample rate (16 kHz against 4.5 kHz), which matters for fast rotation, not for a robot that drives at walking pace."
8.6,Camera-specific cabling,1,None needed,MMlove boards use the USB-C to USB-A cables already in the core,0.00,USD,essential recommended,-,,data,"Choosing MMlove for both wrist and head removes $48.66 of camera-specific cabling."
8.6,Camera-specific cabling,1,Micro-B pair + ZED USB-C run,2x Micro-B to USB-A ($13.99) + 1x 10 ft USB-C ($20.68),48.66,USD,maximum,amazon.com,,data,Required by the D405 wrist pair and the ZED Mini.
